time x1 y1 x2 y2
0.000000000000000000e+00 1.000000000000000000e+00 -6.123233995736766036e-17 2.000000000000000000e+00 -1.224646799147353207e-16
1.000000000000000021e-02 9.999997151761572667e-01 7.547500276820039286e-04 1.999999715176157267e+00 7.547499894023409605e-04
2.000000000000000042e-02 9.999994808190295625e-01 1.019000329421127036e-03 1.999999480819029563e+00 1.019001002817959689e-03
2.999999999999999889e-02 9.999996857727947441e-01 7.927511033345075765e-04 1.999999685772794855e+00 7.927542947917669584e-04
4.000000000000000083e-02 9.999999971118346265e-01 7.600217557950385261e-05 1.999999997111834737e+00 7.600875323564011514e-05
5.000000000000000278e-02 9.999993601402776822e-01 -1.131246673054133074e-03 1.999999360140277682e+00 -1.131236161163058900e-03
5.999999999999999778e-02 9.999959983865650548e-01 -2.828994672495798238e-03 1.999995998386564722e+00 -2.828971103000392940e-03
7.000000000000000666e-02 9.999874135806078312e-01 -5.017238320676225410e-03 1.999987413580604834e+00 -5.017161157412286347e-03
8.000000000000000167e-02 9.999703855925864415e-01 -7.695968932753953148e-03 1.999970385592556354e+00 -7.695723781445428131e-03
8.999999999999999667e-02 9.999409723039253128e-01 -1.086516948236244083e-02 1.999940972303701603e+00 -1.086450036863429933e-02
1.000000000000000056e-01 9.998945093724185273e-01 -1.452481073509690433e-02 1.999894509371155538e+00 -1.452322143068133890e-02
1.100000000000000006e-01 9.998256098448754514e-01 -1.867484667468195803e-02 1.999825609839158913e+00 -1.867146538514122267e-02
1.199999999999999956e-01 9.997281635619288398e-01 -2.331520922259320422e-02 1.999728163540160253e+00 -2.330861093078992821e-02
1.300000000000000044e-01 9.995953362907503692e-01 -2.844580225238260360e-02 1.999595336218519037e+00 -2.843378298252378922e-02
1.400000000000000133e-01 9.994195685122377881e-01 -3.406649490059614205e-02 1.999419568297935434e+00 -3.404579212467831462e-02
1.499999999999999944e-01 9.991925737796520934e-01 -4.017711417703433846e-02 1.999192573200064826e+00 -4.014306752514387733e-02
1.600000000000000033e-01 9.989053365555230490e-01 -4.677743687823512908e-02 1.998905335105415570e+00 -4.672358323200612173e-02
1.700000000000000122e-01 9.985481094226916765e-01 -5.386718080954453619e-02 1.998548106027559612e+00 -5.378477774906213066e-02
1.799999999999999933e-01 9.981104095533498421e-01 -6.144599532308313294e-02 1.998110402046724854e+00 -6.132346675574306544e-02
1.900000000000000022e-01 9.975810143065284574e-01 -6.951345118146466662e-02 1.997580998517459960e+00 -6.933574879986041661e-02
2.000000000000000111e-01 9.969479558092585458e-01 -7.806902976046715958e-02 1.996947924025494814e+00 -7.781690374717614711e-02
2.099999999999999922e-01 9.961985143590363911e-01 -8.711211160825289845e-02 1.996198452818930491e+00 -8.676128371885338808e-02
2.200000000000000011e-01 9.953192104646140237e-01 -9.664196438451282123e-02 1.995319095375844842e+00 -9.616219618484381226e-02
2.300000000000000100e-01 9.942957953176416730e-01 -1.066577302105118086e-01 1.994295586691011701e+00 -1.060117788063765498e-01
2.399999999999999911e-01 9.931132394582610212e-01 -1.171584124709734304e-01 1.993112871764816774e+00 -1.163008655316260104e-01
2.500000000000000000e-01 9.917557193619978007e-01 -1.281428621217989283e-01 1.991755087652690159e+00 -1.270188433425429309e-01
2.600000000000000089e-01 9.902066016315154151e-01 -1.396097635746344767e-01 1.990205541277587198e+00 -1.381534989242454159e-01
2.700000000000000178e-01 9.884484244227014216e-01 -1.515576202514381243e-01 1.988446682013768507e+00 -1.496908543770058275e-01
2.800000000000000266e-01 9.864628756673045062e-01 -1.639847399308611564e-01 1.986460067808150320e+00 -1.616149909094609927e-01
2.899999999999999800e-01 9.842307675701806868e-01 -1.768892200452389929e-01 1.984226323304160822e+00 -1.739078592337348073e-01
2.999999999999999889e-01 9.817320067532944172e-01 -1.902689331345226165e-01 1.981725088057538997e+00 -1.865490751207513620e-01
3.099999999999999978e-01 9.789455592846396659e-01 -2.041215127243674599e-01 1.978934952464935115e+00 -1.995156982573781934e-01
3.200000000000000067e-01 9.758494096599142908e-01 -2.184443399733596025e-01 1.975833378440058796e+00 -2.127819921642786771e-01
3.300000000000000155e-01 9.724205125872161792e-01 -2.332345315334238001e-01 1.972396601136695127e+00 -2.263191624699061877e-01
3.400000000000000244e-01 9.686347361458371719e-01 -2.484889291934037625e-01 1.968599507091516765e+00 -2.400950702742574439e-01
3.500000000000000333e-01 9.644667945303199152e-01 -2.642040920357018319e-01 1.964415482987253991e+00 -2.540739166543291572e-01
3.599999999999999867e-01 9.598901681247881124e-01 -2.803762920386920210e-01 1.959816227745323935e+00 -2.682158935358316953e-01
3.699999999999999956e-01 9.548770080459064724e-01 -2.970015143148226344e-01 1.954771518748525727e+00 -2.824767951516305997e-01
3.800000000000000044e-01 9.493980214993827937e-01 -3.140754635005058581e-01 1.949248920536898799e+00 -2.968075830900189227e-01
