time x1 y1 x2 y2 E
0.000000000000000000e+00 4.000000000000000222e-01 -2.449293598294706538e-17 8.000000000000000444e-01 -4.898587196589413075e-17 -7.208271059781322519e-16
1.000000000000000021e-02 3.999995300968919865e-01 -6.131249999996872709e-04 7.999995300968920642e-01 -6.131239195904386596e-04 -4.511133135434738581e-03
2.000000000000000042e-02 3.999924814133657414e-01 -2.452511524596462725e-03 7.999924814133567708e-01 -2.452426530637682837e-03 -1.804799473177598479e-02
2.999999999999999889e-02 3.999619341511725379e-01 -5.518263318574361150e-03 7.999619341499771830e-01 -5.517285412756285992e-03 -4.064174009697778256e-02
4.000000000000000083e-02 3.998796675422888747e-01 -9.810784182139304851e-03 7.998796675044015370e-01 -9.805278738346473108e-03 -7.241346588840812115e-02
5.000000000000000278e-02 3.997060877230153020e-01 -1.533112641527770506e-02 7.997060871704164686e-01 -1.531010073812363523e-02 -1.136775870475443539e-01
5.999999999999999778e-02 3.993900448883298537e-01 -2.208148645580482183e-02 7.993900399472093632e-01 -2.201861439205644866e-02 -1.650851486617969099e-01
7.000000000000000666e-02 3.988684542512675457e-01 -3.006586441804865589e-02 7.988684226960689472e-01 -2.990698031602008131e-02 -2.278040081281973994e-01
8.000000000000000167e-02 3.980656017790002998e-01 -3.929092363793931786e-02 7.980654440786514314e-01 -3.893573319005277228e-02 -3.037291011708185273e-01
8.999999999999999667e-02 3.968919671040826991e-01 -4.976712216164160679e-02 7.968913126748375930e-01 -4.904355947064770876e-02 -3.957086348837014489e-01
1.000000000000000056e-01 3.952423161861415291e-01 -6.151025520849476291e-02 7.952399668725660398e-01 -6.013932656659455589e-02 -5.077566045964643227e-01
1.100000000000000006e-01 3.929926717974068784e-01 -7.454367789112391340e-02 7.929851555715934364e-01 -7.209155143493589657e-02 -6.451868214194393936e-01
1.199999999999999956e-01 3.899954875383293551e-01 -8.890174182624772936e-02 7.899735635995743799e-01 -8.471382225384559150e-02 -8.145158001533003844e-01
1.300000000000000044e-01 3.860717588316218696e-01 -1.046355438302779828e-01 7.860123766832928238e-01 -9.774336040093538347e-02 -1.022742082523725449e+00
1.400000000000000133e-01 3.809974630678811813e-01 -1.218233685950216583e-01 7.808457373078447894e-01 -1.108071266167943991e-01 -1.274889957220834091e+00
1.499999999999999944e-01 3.744783911561556655e-01 -1.405913744050369674e-01 7.741072219440952029e-01 -1.233635595968737703e-01 -1.566292872375232070e+00
1.600000000000000033e-01 3.660981396848075331e-01 -1.611587792188906576e-01 7.652149367120442136e-01 -1.345922150692006047e-01 -1.856763311361687485e+00
1.700000000000000122e-01 3.551937270533598312e-01 -1.839494937800681407e-01 7.531084071560296689e-01 -1.431584732143856287e-01 -1.969836576801552219e+00
1.799999999999999933e-01 3.404903558403405417e-01 -2.099197884424388594e-01 7.354512139951330241e-01 -1.466274466811337551e-01 -1.081781781121811115e+00
1.900000000000000022e-01 3.186315641487660333e-01 -2.418138257588072770e-01 7.053623955020351666e-01 -1.396411088486199104e-01 6.435561838506316690e+00
