time x1 y1 x2 y2
0.000000000000000000e+00 1.010000000000000009e+00 -6.184466335694133561e-17 2.020000000000000018e+00 -1.236893267138826712e-16
1.000000000000000021e-02 1.009999970810684156e+00 -2.428217804122834330e-04 2.019999970810684164e+00 -2.428217734179668758e-04
2.000000000000000042e-02 1.009999532970901059e+00 -9.712870643962519344e-04 2.019999532970901068e+00 -9.712865895139470140e-04
2.999999999999999889e-02 1.009997635664174442e+00 -2.185395336677713619e-03 2.019997635664174673e+00 -2.185389910866992764e-03
4.000000000000000083e-02 1.009992527522599159e+00 -3.885144593414895011e-03 2.019992527522598724e+00 -3.885114091885407978e-03
5.000000000000000278e-02 1.009981756602601477e+00 -6.070529624640613395e-03 2.019981756602594825e+00 -6.070413253583096559e-03
5.999999999999999778e-02 1.009962170323845054e+00 -8.741539609747306025e-03 2.019962170323785333e+00 -8.741192106838512055e-03
7.000000000000000666e-02 1.009929915344116136e+00 -1.189815502615373249e-02 2.019929915343736226e+00 -1.189727872119752256e-02
8.000000000000000167e-02 1.009880437335211267e+00 -1.554034387143301416e-02 2.019880437333323897e+00 -1.553839123328049771e-02
8.999999999999999667e-02 1.009808480616993576e+00 -1.966805719940208433e-02 2.019808480609235346e+00 -1.966409848422423848e-02
1.000000000000000056e-01 1.009708087598822024e+00 -2.428122397098971680e-02 2.019708087571349786e+00 -2.427377456895487770e-02
1.100000000000000006e-01 1.009572597969428109e+00 -2.937974522114708900e-02 2.019572597883197318e+00 -2.936654727107834359e-02
1.199999999999999956e-01 1.009394647567929404e+00 -3.496348754365583011e-02 2.019394647322910963e+00 -3.494124034535636691e-02
1.300000000000000044e-01 1.009166166859925440e+00 -4.103227589648192342e-02 2.019166166219541925e+00 -4.099630959469806324e-02
1.400000000000000133e-01 1.008878378933339315e+00 -4.758588573135422856e-02 2.018878377374589306e+00 -4.752977266983426929e-02
1.499999999999999944e-01 1.008521796918698810e+00 -5.462403445259917528e-02 2.018521793350212867e+00 -5.453913249681913850e-02
1.600000000000000033e-01 1.008086220727614668e+00 -6.214637221201844974e-02 2.018086212982809435e+00 -6.202129420957790823e-02
1.700000000000000122e-01 1.007560732991033658e+00 -7.015247204889664412e-02 2.017560716952032429e+00 -6.997247543114862300e-02
1.799999999999999933e-01 1.006933694065039742e+00 -7.864181938722636378e-02 2.016933662199394739e+00 -7.838810970714520099e-02
1.900000000000000022e-01 1.006192735956075834e+00 -8.761380090617310046e-02 2.016192674945301633e+00 -8.726274284721680097e-02
2.000000000000000111e-01 1.005324754998862868e+00 -9.706769280495242125e-02 2.015324641996349975e+00 -9.658992187356589543e-02
2.099999999999999922e-01 1.004315903098281115e+00 -1.070026484900451491e-01 2.014315699963187267e+00 -1.063620762082861243e-01
2.200000000000000011e-01 1.003151577320101184e+00 -1.174176857214997427e-01 2.013151221919575296e+00 -1.165703906513934490e-01
